id,console,tipo,fabricante
1,PlayStation 3 Slim,console de mesa,sony
2,Xbox 360 Slim,console de mesa,microsoft
3,Nintendo 3DS,portatil,nintendo
4,PlayStation Vita,portatil,sony
5,Wii U,console de mesa,nintendo
6,PlayStation 4,console de mesa,sony
7,Xbox One,console de mesa,microsoft
8,Nintendo Switch,hibrido,nintendo
9,PlayStation 4 Pro,console de mesa,sony
10,Xbox One S,console de mesa,microsoft
11,Xbox One X,console de mesa,microsoft
12,PlayStation 4 Slim,console de mesa,sony
13,PlayStation 5,console de mesa,sony
14,Xbox Series X,console de mesa,microsoft
15,Xbox Series S,console de mesa,microsoft
16,Nintendo Switch Lite,portatil,nintendo
